Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,MarketOpen-Closing TimeOfDay,MinimumVolume,Commission,DukasSymbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
SN.GB_GBX,977.834,0.932,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,SNGBGBX,10,1,SN.GB,GBX, GB, STK_CASH, Smith & Nephew PLC
AF.FR_EUR,8.401,0.017,0,0,0.01,0,0,Europe/Paris:09.00-17.30,1,0,AFFREUR,10,1,AF.FR,EUR, FR, STK_CASH, Air France-KLM
CDEV.US_USD,13.518,0.014,0,0,0.01,0,0,unknown,1,0,CDEVUSUSD,10,1,CDEV.US,USD, US, STK_CASH, CENTENNIAL RESOURCE DEVELO-A / Permian Resources Corp
ADEN.CH_CHF,22.189,0.067,0,0,0.01,0,0,Europe/Zurich:09.00-17.30,1,0,ADENCHCHF,10,1,ADEN.CH,CHF, CH, STK_CASH, Adecco SA
NHY.NO_NOK,63.629,0.065,0,0,0.01,0,0,Europe/Oslo:09.00-16.30,1,0,NHYNONOK,10,1,NHY.NO,NOK, NO, STK_CASH, Norsk Hydro ASA
FITB.US_USD,42.566,0.028,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,FITBUSUSD,10,1,FITB.US,USD, US, STK_CASH, FIFTH THIRD BANCORP
HAL.US_USD,26.137,0.016,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,HALUSUSD,10,1,HAL.US,USD, US, STK_CASH, HALLIBURTON CO
SRT.DE_EUR,219.889,0.222,0,0,0.01,0,0,unknown,1,0,SRTDEEUR,10,1,SRT.DE,EUR, DE, STK_CASH, Sartorius AG
UCB.BE_EUR,187.382,0.131,0,0,0.01,0,0,Europe/Brussels:08.00-16.30,1,0,UCBBEEUR,10,1,UCB.BE,EUR, BE, STK_CASH, UCB SA
AHT.GB_GBX,5145.897,4.359,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,AHTGBGBX,10,1,AHT.GB,GBX, GB, STK_CASH, Ashtead Group PLC
EMR.US_USD,122.387,0.296,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,EMRUSUSD,10,1,EMR.US,USD, US, STK_CASH, EMERSON ELECTRIC CO
INW.IT_EUR,9.639,0.007,0,0,0.01,0,0,unknown,1,0,INWITEUR,10,1,INW.IT,EUR, IT, STK_CASH, Infrastrutture Wireless Italiane Spa
EA.US_USD,149.906,0.058,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,EAUSUSD,10,1,EA.US,USD, US, STK_CASH, ELECTRONIC ARTS INC
ABBN.CH_CHF,51.445,0.049,0,0,0.01,0,0,Europe/Zurich:09.00-17.30,1,0,ABBNCHCHF,10,1,ABBN.CH,CHF, CH, STK_CASH, ABB Ltd
SLB.US_USD,37.288,0.004,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,SLBUSUSD,10,1,SLB.US,USD, US, STK_CASH, SCHLUMBERGER LTD
1093.HK_HKD,4.747,0.016,0,0,0.01,0,0,Asia/Hong_Kong:09.20-16.00,1,0,1093HKHKD,10,1,1093.HK,HKD, HK, STK_CASH, CSPC Pharmaceutical Group Ltd
D.US_USD,52.607,0.006,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,DUSUSD,10,1,D.US,USD, US, STK_CASH, DOMINION RESOURCES INC/VA
RGLD.US_USD,135.242,0.816,0,0,0.01,0,0,unknown,1,0,RGLDUSUSD,10,1,RGLD.US,USD, US, STK_CASH, ROYAL GOLD INC
WTW.US_USD,307.178,0.404,0,0,0.01,0,0,unknown,1,0,WTWUSUSD,10,1,WTW.US,USD, US, STK_CASH, WILLIS TOWERS WATSON PLC
GLEN.GB_GBX,362.741,0.177,0,0,0.01,0,0,Europe/London:08.00-16.30,1,0,GLENGBGBX,10,1,GLEN.GB,GBX, GB, STK_CASH, Glencore PLC
ITX.ES_EUR,50.288,0.045,0,0,0.01,0,0,Europe/Madrid:09.00-17.30,1,0,ITXESEUR,10,1,ITX.ES,EUR, ES, STK_CASH, Inditex SA
ML.FR_EUR,32.246,0.028,0,0,0.01,0,0,Europe/Paris:09.00-17.30,1,0,MLFREUR,10,1,ML.FR,EUR, FR, STK_CASH, Michelin SA
MLM.US_USD,534.719,1.562,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,MLMUSUSD,10,1,MLM.US,USD, US, STK_CASH, MARTIN MARIETTA MATERIALS
RWE.DE_EUR,28.207,0.037,0,0,0.01,0,0,Europe/Berlin:09.00-17.30,1,0,RWEDEEUR,10,1,RWE.DE,EUR, DE, STK_CASH, RWE AG
JNJ.US_USD,144.716,0.268,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,JNJUSUSD,10,1,JNJ.US,USD, US, STK_CASH, JOHNSON & JOHNSON
SYY.US_USD,77.016,0.028,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,SYYUSUSD,10,1,SYY.US,USD, US, STK_CASH, SYSCO CORP
SGSN.CH_CHF,91.219,0.377,0,0,0.01,0,0,Europe/Zurich:09.00-17.30,1,0,SGSNCHCHF,10,1,SGSN.CH,CHF, CH, STK_CASH, SGS SA
UGI.US_USD,26.735,0.02,0,0,0.01,0,0,unknown,1,0,UGIUSUSD,10,1,UGI.US,USD, US, STK_CASH, UGI CORP
EPAM.US_USD,238.929,1.502,0,0,0.01,0,0,unknown,1,0,EPAMUSUSD,10,1,EPAM.US,USD, US, STK_CASH, EPAM SYSTEMS INC
LOW.US_USD,249.746,0.998,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,LOWUSUSD,10,1,LOW.US,USD, US, STK_CASH, LOWE'S COS INC
CMCSA.US_USD,37.816,0.008,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,CMCSAUSUSD,10,1,CMCSA.US,USD, US, STK_CASH, COMCAST CORP-CLASS A
4543.JP_JPY,3038.7,1.5,0,0,1,0,0,Asia/Tokyo:09.00-15.00,1,0,4543JPJPY,10,1,4543.JP,JPY, JP, STK_CASH, Terumo Corp
MCHP.US_USD,56.056,0.268,0,0,0.01,0,0,America/New_York:09.30-16.00,1,0,MCHPUSUSD,10,1,MCHP.US,USD, US, STK_CASH, MICROCHIP TECHNOLOGY INC
MKL.US_USD,1670.729,9.982,0,0,0.01,0,0,unknown,1,0,MKLUSUSD,10,1,MKL.US,USD, US, STK_CASH, MARKEL CORP
DBK.DE_EUR,16.886,0.03,0,0,0.01,0,0,Europe/Berlin:09.00-17.30,1,0,DBKDEEUR,10,1,DBK.DE,EUR, DE, STK_CASH, Deutsche Bank AG
