sep=,
Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol,Leverage,Lotsize,Base,Quote,Country,Group,Description
CHFHUF,435.447,0.4916,-7.62000,3.52000,0.010,2.44545415,213.35,UTC:22:01-21:59,1000.00000000,0.00,CHFHUF,500,100000.00,CHF,HUF,,,CHFHUF
CHFNOK,12.52613,0.007226,-15.29000,5.28000,0.00010,0.85066854,213.35,UTC:22:01-21:59,1000.00000000,0.00,CHFNOK,500,100000.00,CHF,NOK,,,CHFNOK
CHFPLN,4.62950,0.003910,-7.67000,2.99000,0.00010,2.30107230,213.35,UTC:22:01-21:59,1000.00000000,0.00,CHFPLN,500,100000.00,CHF,PLN,,,CHFPLN
CHFSEK,12.34025,0.007010,-9.44000,0.89000,0.00010,0.86351237,213.36,UTC:22:01-21:59,1000.00000000,0.00,CHFSEK,500,100000.00,CHF,SEK,,,CHFSEK
EURCNH,7.67040,0.001083,-7.86000,-6.86000,0.00010,1.30353793,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURCNH,500,100000.00,EUR,CNH,,,EURCNH
EURDKK,7.45785,0.003696,-1.16000,-2.67000,0.00010,1.34021489,200.00,UTC:22:01-21:59,1000.00000000,0.00,EURDKK,500,100000.00,EUR,DKK,,,EURDKK
GBPCNH,9.19818,0.001238,-6.24000,-11.77000,0.00010,1.30354133,240.07,UTC:22:01-21:59,1000.00000000,0.00,GBPCNH,500,100000.00,GBP,CNH,,,GBPCNH
GBPHUF,489.854,0.5575,-3.67000,-1.76000,0.010,2.44544218,240.08,UTC:22:01-21:59,1000.00000000,0.00,GBPHUF,500,100000.00,GBP,HUF,,,GBPHUF
MXNJPY,7.55610,0.006420,15.02000,-24.90000,0.00010,0.06073821,9.19,UTC:22:01-21:59,1000.00000000,0.00,MXNJPY,500,100000.00,MXN,JPY,,,MXNJPY
NZDCNH,4.27845,0.001386,-3.68000,-5.32000,0.00010,1.30350565,111.68,UTC:22:01-21:59,1000.00000000,0.00,NZDCNH,500,100000.00,NZD,CNH,,,NZDCNH
NZDHUF,227.826,0.3341,-1.58000,-0.63000,0.010,2.44544218,111.68,UTC:22:01-21:59,1000.00000000,0.00,NZDHUF,500,100000.00,NZD,HUF,,,NZDHUF
NZDSGD,0.79260,0.000245,-0.01000,-0.68000,0.00010,7.03610931,111.68,UTC:22:01-21:59,1000.00000000,0.00,NZDSGD,500,100000.00,NZD,SGD,,,NZDSGD
EURILS,3.98095,0.004558,-1.94000,-0.29000,0.00010,2.50911436,5000.00,UTC:22:01-21:59,1000.00000000,0.00,EURILS,20,100000.00,EUR,ILS,,,EURILS
USDILS,3.74467,0.004549,-0.71000,-2.13000,0.00010,2.50923398,4706.64,UTC:22:01-21:59,1000.00000000,0.00,USDILS,20,100000.00,USD,ILS,,,USDILS
USDRON,4.67731,0.008746,-3.75000,-1.55000,0.00010,2.00744242,18826.54,UTC:22:01-21:59,1000.00000000,0.00,USDRON,5,100000.00,USD,RON,,,USDRON
XAUUSD,2610.12,0.164,-3.88000,2.02000,0.10,9.40680677,491.68,UTC:23:01-21:59,1.00000000,0.00,XAUUSD,500,100.00,XAU,USD,,,Gold vs US Dollar
XAGUSD,30.875,0.0192,-0.48000,0.28000,0.010,47.03447627,291.81,UTC:23:01-21:59,50.00000000,0.00,XAGUSD,500,5000.00,XAG,USD,,,Silver vs US Dollar
XAGEUR,29.046,0.0168,-0.34000,0.16000,0.010,50.00000000,291.80,UTC:23:01-21:59,50.00000000,0.00,XAGEUR,500,5000.00,XAG,EUR,,,Silver vs Euro
XAUEUR,2455.41,0.226,-2.74000,1.00000,0.10,10.00000000,491.69,UTC:23:01-21:59,1.00000000,0.00,XAUEUR,500,100.00,XAU,EUR,,,Gold vs Euro
XPDUSD,953.13,3.862,-2.22000,1.20000,0.10,9.40671828,180.02,UTC:23:01-21:59,1.00000000,0.00,XPDUSD,500,100.00,XPD,USD,,,Palladium vs US Dollar
XPTUSD,946.65,2.511,-1.79000,0.96000,0.10,9.40671828,179.32,UTC:23:01-21:59,1.00000000,0.00,XPTUSD,500,100.00,XPT,USD,,,Platinum vs US Dollar
XAUAUD,3999.18,0.444,-5.73000,2.90000,0.10,6.13941381,491.69,UTC:23:01-21:59,1.00000000,0.00,XAUAUD,500,100.00,XAU,AUD,,,Gold vs AUD
XAUCHF,2303.50,0.287,-1.28000,-0.55000,0.10,10.65904900,491.69,UTC:23:01-21:59,1.00000000,0.00,XAUCHF,500,100.00,XAU,CHF,,,Gold vs Swiss Franc
XAUGBP,2047.60,0.225,-3.11000,1.68000,0.10,11.99170174,491.69,UTC:23:01-21:59,1.00000000,0.00,XAUGBP,500,100.00,XAU,GBP,,,Gold vs Great Britain Pound
XAGAUD,47.310,0.0237,-0.70000,0.40000,0.010,30.69819986,291.81,UTC:23:01-21:59,50.00000000,0.00,XAGAUD,500,5000.00,XAG,AUD,,,Silver vs Australian Dollar
XAUJPY,404243,36.8,-1.07000,-1.04000,1,0.60739688,491.68,UTC:23:01-21:59,1.00000000,0.00,XAUJPY,500,100.00,XAU,JPY,,,Gold vs Japanese Yen
SpotBrent,72.316,0.0240,1.15000,-1.62000,0.010,0.94068068,68.44,UTC:01:00-21:59,1.00000000,0.00,SpotBrent,100,100.00,SpotBrent,USD,,,Brent Crude (Spot)
SpotCrude,68.473,0.0228,1.74000,-2.21000,0.010,0.94067183,45.32,UTC:23:00-21:59,1.00000000,0.00,SpotCrude,143,100.00,SpotCrude,USD,,,WTI Cash (or Spot) Contract
NatGas,2.614,0.0044,-2.02000,0.61000,0.010,94.06629793,751.08,UTC:23:00-21:59,100.00000000,0.00,NatGas,33,10000.00,NatGas,USD,,,Natural Gas (Spot)
Gasoline,1.9964,0.00300,1.20000,-1.60000,0.0010,0.94067183,57.11,UTC:23:00-21:59,10.00000000,0.00,Gasoline,33,1000.00,Gasoline,USD,,,Gasoline (Cash)
AUS200,8192.4,1.80,-6.81000,1.81000,1.0,0.61400923,12.62,UTC:06:10-20:59,0.10000000,0.00,AUS200,400,1.00,AUS200,AUD,,,Australia 200 Index
EUSTX50,4736.9,1.70,-5.67000,0.67000,1.0,1.00000000,47.56,UTC:00:15-20:59,0.10000000,0.00,EUSTX50,100,1.00,STOXX50,EUR,,,EU Stocks 50 Index
FRA40,7215.9,1.09,-5.67000,0.67000,1.0,1.00000000,72.52,UTC:07:00-21:00,0.10000000,0.00,FRA40,100,1.00,F40,EUR,,,France 40 Index
GER40,19019.3,0.90,-5.67000,0.67000,1.0,1.00000000,47.79,UTC:00:15-20:59,0.10000000,0.00,GER40,400,1.00,DE40,EUR,,,German 40 Index
HK50,19801.7,5.44,-6.64000,1.64000,1.0,0.12092556,24.03,UTC:05:00-08:30,0.10000000,0.00,HK50,100,1.00,HK50,HKD,,,Hong Kong 50 Index
JPN225,38805.5,8.00,-2.73000,-2.27000,1.0,0.60739688,118.07,UTC:23:00-21:59,10.00000000,0.00,JPN225,200,100.00,JP225,JPY,,,Japan 225 Index
SPA35,11392.9,5.00,-5.67000,0.67000,1.0,1.00000000,114.33,UTC:07:00-19:00,0.10000000,0.00,SPA35,100,1.00,ES35,EUR,,,Spain 35 Index
UK100,8014.4,1.00,-7.20000,2.20000,1.0,1.19929961,24.10,UTC:01:00-20:59,0.10000000,0.00,UK100,400,1.00,UK100,GBP,,,UK 100 Index
US2000,2392.6,0.33,-7.12000,2.12000,1.0,0.94068068,22.54,UTC:23:00-21:59,0.10000000,0.00,US2000,100,1.00,US2000,USD,,,US 2000 Index
US500,5974.7,0.40,-7.12000,2.12000,1.0,0.94066298,14.08,UTC:23:00-21:59,0.10000000,0.00,US500,400,1.00,US500,USD,,,US 500 Index
NAS100,21039.3,1.30,-7.12000,2.12000,1.0,0.94067183,49.59,UTC:23:00-21:59,0.10000000,0.00,NAS100,400,1.00,USTEC,USD,,,US Tech 100 Index
US30,43832.5,2.60,-7.12000,2.12000,1.0,0.94066298,103.30,UTC:23:00-21:59,0.10000000,0.00,US30,400,1.00,US30,USD,,,US Wall Street 30 Index
CN50,13680.1,10.00,-7.12000,2.12000,1.0,0.94063643,64.62,UTC:09:00-20:45,0.10000000,0.00,CN50,200,1.00,CN50,USD,,,China 50 Index
SCI25,366.9,0.39,-5.78000,0.78000,1.0,0.70369510,1.29,UTC:09:50-20:45,0.10000000,0.00,SCI25,200,1.00,SCI25,SGD,,,Singapore 25 Index Cash
VIX,15.67,0.160,0.44000,-0.47000,0.10,0.09406630,0.15,UTC:23:00-21:59,0.10000000,0.00,VIX,100,1.00,VIX,USD,,,US Volatility Index
CA60,1497.92,0.800,-7.50000,2.50000,0.10,0.06742634,10.11,UTC:14:30-21:15,0.10000000,0.00,CA60,100,1.00,CA60,CAD,,,Canada 60 Index
CHINAH,7116.20,18.000,-5.45000,0.45000,0.10,0.01209241,8.67,UTC:05:00-08:30,0.10000000,0.00,CHINAH,100,1.00,CHINAH,HKD,,,Hong Kong China H-shares Index
MidDE50,26316.00,27.230,-5.67000,0.67000,0.10,0.10000000,264.99,UTC:08:00-16:30,0.10000000,0.00,MidDE50,100,1.00,MidDE50,EUR,,,Germany Mid 50 Index
NETH25,860.11,0.300,-5.67000,0.67000,0.10,0.10000000,8.62,UTC:07:00-21:00,0.10000000,0.00,NETH25,100,1.00,NETH25,EUR,,,Netherlands 25 Index
NOR25,1313.21,1.000,-7.13000,2.13000,0.10,0.00850884,1.12,UTC:08:00-15:20,0.10000000,0.00,NOR25,100,1.00,NOR25,NOK,,,Norway 25 Index
SA40,75794.80,11.686,-10.50000,5.50000,0.10,0.00523032,39.75,UTC:06:30-15:30,0.10000000,0.00,SA40,100,1.00,SA40,ZAR,,,South Africa 40 Index
SWI20,11665.50,4.000,-3.43000,-1.57000,0.10,0.10658708,124.92,UTC:07:00-21:00,0.10000000,0.00,SWI20,100,1.00,SWI20,CHF,,,Switzerland 20 Index
GERTEC30,3341.50,3.000,-5.67000,0.67000,0.10,0.10000000,33.67,UTC:08:00-16:30,0.10000000,0.00,GERTEC30,100,1.00,GERTEC30,EUR,,,Germany Tech 30 Index
Crypto10,21014.1,45.00,-22.50000,10.00000,1.0,0.94062759,1966.44,UTC:10:00-21:59,0.10000000,0.00,Crypto10,10,1.00,Crypto10,USD,,,Global 10 Crypto Index
Crypto20,24968.9,80.00,-22.50000,10.00000,1.0,0.94060989,2338.25,UTC:10:00-21:59,0.10000000,0.00,Crypto20,10,1.00,Crypto20,USD,,,Global 20 Crypto Index
Crypto30,23658.6,80.00,-22.50000,10.00000,1.0,0.94060989,2214.76,UTC:10:00-21:59,0.10000000,0.00,Crypto30,10,1.00,Crypto30,USD,,,Global 30 Crypto Index
USDX,105.971,0.0516,0.09000,-0.69000,0.010,0.94061874,24.96,UTC:01:00-21:59,100.00000000,0.00,USDX,400,100.00,USDX,USD,,,US Dollar Index
EURX,1031.5,1.00,-0.10000,-0.08000,1.0,100.00000000,1032.00,UTC:23:00-21:59,100.00000000,0.00,EURX,100,100.00,EURX,EUR,,,EUR Currency Index
JPYX,728.8,1.00,-0.10000,-0.02000,1.0,0.60741902,4.44,UTC:23:00-21:59,100.00000000,0.00,JPYX,100,100.00,JPYX,JPY,,,JPY Currency Index
Sugar,21.219,0.0400,-0.32000,-0.04000,0.010,0.94061874,40.23,UTC:08:30-17:59,100.00000000,0.00,Sugar,50,100.00,Sugar,USD,,,Sugar Cash Contract
Coffee,265.15,0.300,-0.11000,-0.33000,0.10,0.94060989,49.72,UTC:09:15-18:29,1.00000000,0.00,Coffee,50,10.00,Coffee,USD,,,Coffee Cash Contract
Cotton,68.918,0.1500,-2.44000,1.18000,0.010,0.94061874,130.29,UTC:02:00-19:19,100.00000000,0.00,Cotton,50,100.00,Cotton,USD,,,Cotton Cash Contract
